iter	Passed	Remaining
0	145	144942
1	145	72713
2	146	48772
3	147	36682
4	147	29448
5	148	24606
6	149	21164
7	149	18564
8	150	16555
9	150	14937
10	151	13606
11	151	12505
12	152	11568
13	152	10767
14	153	10083
15	154	9473
16	154	8943
17	155	8467
18	155	8045
19	156	7663
20	156	7315
21	157	7015
22	158	6733
23	159	6472
24	159	6227
25	160	6003
26	160	5798
27	161	5617
28	162	5437
29	163	5270
30	163	5111
31	164	4962
32	164	4822
33	165	4692
34	165	4566
35	166	4450
36	166	4338
37	167	4232
38	167	4132
39	168	4037
40	168	3950
41	169	3863
42	170	3785
43	170	3708
44	171	3633
45	171	3563
46	172	3497
47	173	3432
48	173	3368
49	174	3307
50	174	3250
51	175	3193
52	175	3140
53	176	3096
54	177	3047
55	178	3000
56	178	2954
57	179	2910
58	179	2867
59	180	2825
60	180	2785
61	181	2746
62	182	2708
63	182	2671
64	183	2636
65	183	2601
66	184	2568
67	185	2537
68	186	2509
69	186	2482
70	187	2453
71	188	2425
72	188	2396
73	189	2368
74	189	2342
75	190	2316
76	191	2299
77	192	2274
78	193	2251
79	193	2224
80	194	2201
81	194	2179
82	195	2158
83	196	2137
84	196	2116
85	197	2095
86	197	2075
87	198	2055
88	198	2036
89	199	2018
90	200	1999
91	200	1981
92	201	1963
93	202	1947
94	202	1930
95	203	1914
96	203	1898
97	204	1883
98	205	1867
99	205	1851
100	206	1839
101	207	1825
102	207	1810
103	208	1796
104	209	1781
105	209	1767
106	210	1754
107	210	1741
108	211	1727
109	211	1715
110	212	1702
111	213	1689
112	213	1677
113	214	1666
114	214	1654
115	215	1642
116	216	1631
117	216	1619
118	217	1608
119	217	1597
120	218	1587
121	219	1577
122	219	1566
123	220	1556
124	220	1546
125	221	1539
126	222	1529
127	223	1519
128	223	1510
129	224	1501
130	224	1492
131	225	1482
132	226	1473
133	226	1464
134	227	1456
135	227	1446
136	228	1438
137	229	1430
138	229	1422
139	230	1414
140	230	1406
141	231	1398
142	232	1391
143	232	1383
144	233	1376
145	233	1368
146	234	1361
147	235	1353
148	235	1345
149	236	1342
150	237	1335
151	238	1328
152	238	1321
153	239	1314
154	239	1307
155	240	1301
156	241	1294
157	241	1287
158	242	1280
159	242	1273
160	243	1267
161	243	1261
162	244	1255
163	245	1249
164	245	1243
165	246	1237
166	247	1232
167	247	1226
168	248	1220
169	249	1215
170	249	1210
171	250	1205
172	251	1200
173	251	1195
174	252	1190
175	253	1184
176	253	1179
177	254	1174
178	254	1169
179	255	1164
180	256	1159
181	256	1154
182	257	1150
183	258	1145
184	258	1140
185	259	1135
186	260	1131
187	260	1126
188	261	1122
189	262	1117
190	262	1113
191	263	1108
192	264	1104
193	264	1100
194	265	1095
195	266	1092
196	267	1088
197	267	1084
198	268	1079
199	268	1075
200	269	1070
201	270	1066
202	270	1062
203	271	1059
204	272	1055
205	272	1051
206	273	1047
207	274	1043
208	274	1039
209	275	1035
210	276	1032
211	276	1029
212	277	1026
213	278	1022
214	279	1018
215	279	1015
216	280	1011
217	280	1007
218	281	1004
219	282	1000
220	282	996
221	283	993
222	284	990
223	284	986
224	285	983
225	286	979
226	286	976
227	287	973
228	288	970
229	288	966
230	289	963
231	290	960
232	290	956
233	291	952
234	292	951
235	292	947
236	293	945
237	294	942
238	294	938
239	295	935
240	296	932
241	296	929
242	297	926
243	298	923
244	298	920
245	299	917
246	300	915
247	300	911
248	301	908
249	301	905
250	302	902
251	303	900
252	303	897
253	304	894
254	305	891
255	305	889
256	307	887
257	307	885
258	308	882
259	309	879
260	309	877
261	310	874
262	311	872
263	311	868
264	312	866
265	312	863
266	313	860
267	314	858
268	314	855
269	315	853
270	316	850
271	316	847
272	317	844
273	317	842
274	318	839
275	319	837
276	319	834
277	320	832
278	321	830
279	322	828
280	322	826
281	323	823
282	324	821
283	324	819
284	325	817
285	326	814
286	327	812
287	327	810
288	328	807
289	329	805
290	329	803
291	330	800
292	330	798
293	331	796
294	332	793
295	332	791
296	333	789
297	334	787
298	334	785
299	335	783
300	336	781
301	337	779
302	338	777
303	338	775
304	339	773
305	340	771
306	340	769
307	341	767
308	342	765
309	342	763
310	343	760
311	344	758
312	344	756
313	345	754
314	346	752
315	346	750
316	347	748
317	348	746
318	348	744
319	349	742
320	350	741
321	351	739
322	352	738
323	353	736
324	353	734
325	354	732
326	355	731
327	355	729
328	356	727
329	356	724
330	357	722
331	358	720
332	359	719
333	359	717
334	360	715
335	361	713
336	361	711
337	362	709
338	363	707
339	363	706
340	364	704
341	365	702
342	366	702
343	367	700
344	368	699
345	368	697
346	369	695
347	370	693
348	370	692
349	371	690
350	372	688
351	372	686
352	373	684
353	374	682
354	374	681
355	375	679
356	376	677
357	377	676
358	377	674
359	378	672
360	378	670
361	379	669
362	380	667
363	381	666
364	382	664
365	382	662
366	383	661
367	383	659
368	384	657
369	385	656
370	386	654
371	386	652
372	387	651
373	388	649
374	388	648
375	389	646
376	390	645
377	391	643
378	391	641
379	392	639
380	392	638
381	393	636
382	394	635
383	395	633
384	395	632
385	396	631
386	397	629
387	398	628
388	399	626
389	399	625
390	400	623
391	401	622
392	401	620
393	402	619
394	403	617
395	403	616
396	404	614
397	405	613
398	405	611
399	406	609
400	407	608
401	407	606
402	408	605
403	409	603
404	410	602
405	410	600
406	411	599
407	412	598
408	412	596
409	413	594
410	414	593
411	414	592
412	415	590
413	416	589
414	416	587
415	417	586
416	418	585
417	419	583
418	419	582
419	420	580
420	421	579
421	421	577
422	422	576
423	423	574
424	423	573
425	424	571
426	425	570
427	426	569
428	426	568
429	427	566
430	428	565
431	428	563
432	429	562
433	430	561
434	430	559
435	431	558
436	432	556
437	432	555
438	433	554
439	434	552
440	435	551
